domain,nb
naiades.eaufrance.fr,12
ojs.aut.ac.nz,12
networkrepository.com,12
semiceu.github.io,11
hdtcol.univ-nantes.fr,11
bit.ly,11
hal.univ-lorraine.fr,11
board.unimib.it,11
lotus.naturalproducts.net,11
catalogue-wqems.opsi.lecce.it,11
logilab.fr,11
bmcneurol.biomedcentral.com,11
hds-sandbox.github.io,11
rza.zaclys.cloud,11
shanoir-qualif.irisa.fr,11
happyminer.us,11
hbo-kennisbank.nl,11
sbnb.irbbarcelona.org,11
www.havochvatten.se,11
147.100.202.17,11
www.trenitalia.com,11
isgi.unistra.fr,11
www.fnac.com,11
jurnal.untidar.ac.id,11
afst.centre-mersenne.org,11
ipt.pensoft.net,11
ads.atmosphere.copernicus.eu,11
translate.vietai.org.pdf,11
triplydb.com,11
anaconda.org,11
turbulence.pha.jhu.edu,11
it.wikipedia.org,11
zbmed.github.io,11
46cf-147-99-27-197.ngrok.io,11
147.213.76.182,11
zks-docker.ukl.uni-freiburg.de,11
kgccc.di.unito.it,11
annforsci.biomedcentral.com,11
biobank.ndph.ox.ac.uk,11
www.eeca.govt.nz,11
hugeamp.org,11
www.econbiz.de,11
www.econstor.eu,11
i.ntnu.no,11
waterinfo.rws.nl,11
imagerie.cochin.inserm.fr,11
rmes.univ-nantes.fr,11
the-seed-ship.com,11
imi-biomap.pages.uni.lu,11
ardc.edu.au,11
tango.mnhn.fr,11
kracr.iiitd.edu.in,11
terminologies.gfbio.org,11
test.radar-service.eu,11
royalsocietypublishing.org,11
maps.ecopotential-project.eu,11
gdpr-info.eu,11
neurovault.org,11
www.cochranelibrary.com,11
www.netzwerk-universitaetsmedizin.de,11
data.indores.fr:443,11
esajournals.onlinelibrary.wiley.com,11
data.emso.eu,11
data.crossref.org,11
proceedings.icml.cc,11
nmrxiv.org,11
data-staging.niaid.nih.gov,11
geo.ecla.inrae.fr,11
doi.test.datacite.org,11
www.indores.fr,11
emmsm.unicaen.fr,11
darà.euroma.eu,11
data.isimip.org,11
data.nationallibrary.fi,11
data.progedo.fr,11
flame.is.tue.mpg.de.pdf,11
orval.ibsquare.be,11
datacarto.cdata.cerema.fr,11
datascientest.com,11
figure.nz,11
fdp.castoredc.com,11
www.ontologydesignpatterns.org,11
dataverse.no,11
dati.igsg.cnr.it,11
www.nzma.org.nz,11
oscar-corpus.com,11
dati.trentino.it,11
eventkg.l3s.uni-hannover.de,11
nanoconvergencejournal.springeropen.com,11
dbrip.brocku.ca,11
www.imt-atlantique.fr,11
dais.sanu.ac.rs,11
meta.icos-cp.eu,11
collections.biodiversitydata.se,11
gmd.copernicus.org,11
gnomad.broadinstitute.org,11
www.dbgi.org,11
researchmap.jp,11
revenuedata.doi.gov,11
clairerambeau.wixsite.com,11
www.aiide.org,11
ontologies.berkeleybop.org,11
easy.dans.knaw.nl,11
omeka-s.grinnell.edu,11
graph.openaire.eu,11
cherry.chem.bg.ac.rs,11
edata.bham.ac.uk,11
www.hepdata.net,11
map.geo.sz.ch,11
comptes-rendus.academie-sciences.fr,11
content.iospress.com,11
www.rohub.org,11
emergency.copernicus.eu,11
gillesvandewiele.github.io,11
medinform.jmir.org,11
elbib.ru,11
query-covid19.linkeddatafragments.org,11
git.lbgi.fr,11
www.data.gov.uk,11
www.royandersson.com,11
www.iea.org,11
cris.maastrichtuniversity.nl,11
www.sbg.bio.ic.ac.uk,11
remap2022.univ-amu.fr,11
dcc.icgc.org,11
victordeboer.com,9
www.bps.org.uk,9
www.bodc.ac.uk,9
maiage.inrae.fr,9
www.elysee.fr,9
data.colonialcollections.nl,9
forge.ird.fr,9
www.dcc.ac.uk,9
www.eaufrance.fr,9
lavi.lu.lv,9
risi.unilib.rs,9
biktorrr.github.io,9
rsg.pml.ac.uk,8
howto.lcsb.uni.lu,8
niio972@github.com,8
www.irit.fr,8
orcestra.ca,4
chronicdata.cdc.gov,4
knowledge-space.org,3
v2.sherpa.ac.uk,3
mail.izan.kiev.ua,2
www.jeeng.net,2
openehr.atlassian.net,1
webfs.oecd.org,1
www.geodata.cn,1
gctype.wdcm.org,1
www.archiviodistato.prato.it,1
owlready2.readthedocs.io,1
